Grupo de Perfil;Cod. Setor;Descricao Setor;Codigo Cliente;Razao Social;Bairro;Ordem;Status do Cliente;Nome Fantasia;Frequencia Visita;Periodicidade;Proxima Visita;Visita Original;Inicio Visita;CNPJ;Inscricao Estadual;Cod. Estabelecimento;Nome Estabelecimento;Cod. Pagto;Descricao Pagto;Serasa;Observacao;Contato;CNPJ;Contato;CNPJ;Ordem por Historico;Dias Entrega;El Dorado;Endereço;Cidade;Cod. Segmento;Segmento
05;0011;SETOR INATIVO RN                                  ;34.198;JOY EZEQUIAS FELIX DE CARVALHO JUNIOR 47;JARDIM NOVO AEROPOR;001;B;AFTER LOUNGE BAR    ;SEG/                        ;Semanal   ;28/04/2025;28/04/2025;04/07/2022;046606732000120;124357683113      ;131;BAR/BARZINHO   ;035;1 DIA BOLETO SAD;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;AV  DOS ESTUDANTES                2959  ;SAO JOSE DO RIO PRETO         ;19;VIP                                     
05;0011;SETOR INATIVO RN                                  ;30.480;HELIO BATISTA DE SOUZA 15272668855      ;ELDORADO           ;099;I;BAR DO BAIXINHO     ;SEG/                        ;Semanal   ;28/04/2025;28/04/2025;16/09/2024;031704243000134;647980753116      ;131;BAR/BARZINHO   ;028;4 DIAS BOLETO   ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;S;R   SANTA PAULA                   2311  ;SAO JOSE DO RIO PRETO         ;20;Rota                                    
05;0011;SETOR INATIVO RN                                  ;30.620;MARLENE BEZERRA FEITOSA 26161823861     ;SANTA TEREZINHA    ;099;A;MERCEARIA 24 HORAS  ;SEG/                        ;Semanal   ;28/04/2025;28/04/2025;07/09/2020;030554921000167;405059150113      ;222;DEPOSITO DE BEB;035;1 DIA BOLETO SAD;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;S;R   PIRATININGA                   721   ;JOSE BONIFACIO                ;21;SUB                                     
05;0011;SETOR INATIVO RN                                  ;33.288;NATHANA PEREIRA MARCELLO 42837605875    ;RESIDENCIAL PALESTR;099;B;ESPACO BEER         ;SEG/                        ;Semanal   ;28/04/2025;28/04/2025;24/01/2022;044704478000178;124301093110      ;222;DEPOSITO DE BEB;028;4 DIAS BOLETO   ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;AV  DOUTOR ERNANI PIRES DOMINGUES 6656  ;SAO JOSE DO RIO PRETO         ;21;SUB                                     
05;0011;SETOR INATIVO RN                                  ;35.959;LOURIVAL INÁCIO DE OLIVEIRA             ;SAO FRANCISCO      ;099;I;BAR DO PERNAMBUCO   ;SEG/                        ;Quinzenal ;28/04/2025;28/04/2025;30/09/2024;000000027728412;ISENTO            ;131;BAR/BARZINHO   ;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;    MARIO GOMYDE                  171   ;SAO JOSE DO RIO PRETO         ;20;Rota                                    
05;0011;SETOR INATIVO RN                                  ;34.411;MARCIA FERNANDA ALVES PEREIRA           ;JARDIM MARIA LUCIA ;099;A;MESTRE CUCA         ;TER/                        ;Quinzenal ;22/04/2025;22/04/2025;19/07/2022;027910477000160;647.884.898.115   ;076;PADARIA/CONFEIT;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;    VERA KAFURY FERREIRA          241   ;SAO JOSE DO RIO PRETO         ;18;TRAD                                    
05;0011;SETOR INATIVO RN                                  ;35.619;JOÃO SANTOS GONÇALVES                   ;RESIDENCIAL FLOREST;099;I;MERCEARIA E QUITANDA;TER/                        ;Quinzenal ;29/04/2025;29/04/2025;05/03/2024;000002245314506;ISENTO            ;065;ARMAZEM/MERCEAR;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;    JOAO RODRIGUES DA SILVEIRA    316   ;SAO JOSE DO RIO PRETO         ;18;TRAD                                    
05;0011;SETOR INATIVO RN                                  ;35.967;JOSE JUNIOR                             ;CENTRO             ;099;I;JR BURGUER          ;TER/                        ;Quinzenal ;22/04/2025;22/04/2025;08/10/2024;000045296364880;ISENTO            ;228;TRAILLER/BARRAC;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;    Rua Valdemar Batista Vieira   66    ;POTIRENDABA                   ;35;OUTROS                                  
05;0011;SETOR INATIVO RN                                  ;77.955;DISTRIBUIDORA DE BEBIDAS CHRIS LTDA     ;RESIDENCIAL URUPES ;099;I;CHRIS DIST DE BEBIDA;TER/                        ;Semanal   ;22/04/2025;22/04/2025;01/10/2024;051079256000177;707043954112      ;222;DEPOSITO DE BEB;035;1 DIA BOLETO SAD;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;R   HERMES DA FONSECA             44    ;URUPES                        ;21;SUB                                     
05;0011;SETOR INATIVO RN                                  ;35.936;BRUNO RODRIGUES                         ;CENTRO             ;099;I;ZIM SERV FESTA      ;QUI/                        ;Semanal   ;24/04/2025;24/04/2025;19/09/2024;000042051960836;ISENTO            ;222;DEPOSITO DE BEB;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;    Rua Guilhermite               68    ;NOVA ALIANCA                  ;21;SUB                                     
05;0011;SETOR INATIVO RN                                  ;35.955;JESSICA PERES                           ;JARDIM VISTA ALEGRE;099;I;BE COFFEE LOUNGE    ;QUI/                        ;Semanal   ;24/04/2025;24/04/2025;03/10/2024;000040893679801;ISENTO            ;997;EVENTOS        ;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;    MIGUEL DAMHA                  1534  ;SAO JOSE DO RIO PRETO         ;35;OUTROS                                  
05;0011;SETOR INATIVO RN                                  ;35.964;SF-IMPERMEABILIZACAO E CONNECT-NET WORK ;ELDORADO           ;099;I;SFCONNECT           ;QUI/                        ;Semanal   ;24/04/2025;24/04/2025;03/10/2024;048237239000106;124395502114      ;997;EVENTOS        ;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;R   AURIFLAMA                     3456  ;SAO JOSE DO RIO PRETO         ;20;Rota                                    
05;0011;SETOR INATIVO RN                                  ;83.729;52.748.508 MONISE FAGUNDES JACOME       ;JARDIM PLANALTO    ;099;I;BENDITA PIZZA       ;QUI/                        ;Semanal   ;24/04/2025;24/04/2025;19/09/2024;052748508000176;132275878115      ;228;TRAILLER/BARRAC;035;1 DIA BOLETO SAD;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;AV  ALFREDO ANTONIO DE OLIVEIRA   3237  ;SAO JOSE DO RIO PRETO         ;20;Rota                                    
05;0011;SETOR INATIVO RN                                  ;35.933;MARLI MARGARETI SOARES                  ;SOLO SAGRADO       ;099;I;VELAS IASA          ;SEX/                        ;Semanal   ;25/04/2025;25/04/2025;20/09/2024;010587829000196;647549013115      ;997;EVENTOS        ;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;R   DOM JOSE JOAQUIM GONCALVES    764   ;SAO JOSE DO RIO PRETO         ;20;Rota                                    
05;0011;SETOR INATIVO RN                                  ;35.954;FABRÍCIA SANTOS                         ;CENTRO             ;099;I;PONTO CERTO         ;SEX/                        ;Semanal   ;25/04/2025;25/04/2025;04/10/2024;000036847421800;ISENTO            ;065;ARMAZEM/MERCEAR;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;    Rua dr Manoel Carlos Figueired457   ;ADOLFO                        ;18;TRAD                                    
05;0011;SETOR INATIVO RN                                  ;35.956;FABRÍCIA SANTOS                         ;CENTRO             ;099;I;PONTO CERTO         ;SEX/                        ;Semanal   ;25/04/2025;25/04/2025;04/10/2024;000006739859540;ISENTO            ;131;BAR/BARZINHO   ;002;DINHEIRO        ;N;  ;                                   ;                  ;                                   ;                  ;   ;                            ;N;    Rua Manoel Carlos Figueiredo F457   ;ADOLFO                        ;20;Rota                                    
